,precision,recall,f1-score,support
0,0.5735294117647058,0.6842105263157895,0.6239999999999999,57.0
1,0.23357664233576642,0.3855421686746988,0.2909090909090909,83.0
2,0.17757009345794392,0.2676056338028169,0.2134831460674157,71.0
3,0.10377358490566038,0.12790697674418605,0.11458333333333334,86.0
4,0.15584415584415584,0.15,0.15286624203821655,80.0
5,0.05128205128205128,0.03225806451612903,0.039603960396039604,62.0
6,0.1111111111111111,0.046153846153846156,0.06521739130434782,65.0
7,0.175,0.17073170731707318,0.17283950617283952,82.0
8,0.16494845360824742,0.2191780821917808,0.18823529411764706,73.0
9,0.15789473684210525,0.11688311688311688,0.13432835820895522,77.0
10,0.04878048780487805,0.02857142857142857,0.036036036036036036,70.0
11,0.11904761904761904,0.05747126436781609,0.07751937984496124,87.0
12,0.043478260869565216,0.013888888888888888,0.021052631578947368,72.0
13,0.1,0.015625,0.02702702702702703,64.0
14,0.0625,0.021052631578947368,0.031496062992125984,95.0
15,0.13043478260869565,0.03409090909090909,0.05405405405405405,88.0
16,0.15384615384615385,0.05333333333333334,0.07920792079207922,75.0
17,0.0,0.0,0.0,72.0
18,0.0,0.0,0.0,69.0
19,0.05660377358490566,0.06,0.05825242718446602,50.0
20,0.023809523809523808,0.01639344262295082,0.019417475728155338,61.0
21,0.07317073170731707,0.07317073170731707,0.07317073170731707,41.0
22,0.05128205128205128,0.06451612903225806,0.05714285714285715,31.0
23,0.0,0.0,0.0,38.0
24,0.018518518518518517,0.023809523809523808,0.020833333333333332,42.0
25,0.014925373134328358,0.02702702702702703,0.01923076923076923,37.0
26,0.03508771929824561,0.06451612903225806,0.04545454545454545,31.0
27,0.030303030303030304,0.08333333333333333,0.04444444444444444,24.0
28,0.025974025974025976,0.06060606060606061,0.03636363636363636,33.0
29,0.045454545454545456,0.08333333333333333,0.05882352941176471,36.0
30,0.02857142857142857,0.08333333333333333,0.0425531914893617,24.0
31,0.015625,0.06666666666666667,0.02531645569620253,15.0
32,0.031914893617021274,0.13636363636363635,0.051724137931034475,22.0
accuracy,0.10507056978567694,0.10507056978567694,0.10507056978567694,0.10507056978567694
macro avg,0.09132903516920003,0.09901736137268058,0.08712687787851528,1913.0
weighted avg,0.10633449864343691,0.10507056978567694,0.09769744776208827,1913.0
