,precision,recall,f1-score,support
0,0.625,0.7857142857142857,0.6962025316455697,70.0
1,0.22115384615384615,0.2948717948717949,0.2527472527472528,78.0
2,0.13414634146341464,0.1527777777777778,0.14285714285714288,72.0
3,0.11940298507462686,0.12121212121212122,0.12030075187969924,66.0
4,0.11940298507462686,0.09302325581395349,0.1045751633986928,86.0
5,0.057692307692307696,0.04054054054054054,0.047619047619047616,74.0
6,0.06818181818181818,0.046153846153846156,0.055045871559633024,65.0
7,0.08823529411764706,0.075,0.08108108108108107,80.0
8,0.08108108108108109,0.08108108108108109,0.08108108108108109,74.0
9,0.12987012987012986,0.12345679012345678,0.12658227848101264,81.0
10,0.11290322580645161,0.1044776119402985,0.10852713178294573,67.0
11,0.024390243902439025,0.014705882352941176,0.01834862385321101,68.0
12,0.0,0.0,0.0,70.0
13,0.0,0.0,0.0,65.0
14,0.08,0.023255813953488372,0.036036036036036036,86.0
15,0.0,0.0,0.0,79.0
16,0.0,0.0,0.0,64.0
17,0.03571428571428571,0.012987012987012988,0.019047619047619046,77.0
18,0.06451612903225806,0.027777777777777776,0.038834951456310676,72.0
19,0.03571428571428571,0.018867924528301886,0.024691358024691357,53.0
20,0.047619047619047616,0.038461538461538464,0.0425531914893617,52.0
21,0.10256410256410256,0.09090909090909091,0.0963855421686747,44.0
22,0.0,0.0,0.0,38.0
23,0.020833333333333332,0.022727272727272728,0.021739130434782608,44.0
24,0.024390243902439025,0.02040816326530612,0.02222222222222222,49.0
25,0.030612244897959183,0.07894736842105263,0.044117647058823525,38.0
26,0.031746031746031744,0.0625,0.042105263157894736,32.0
27,0.0,0.0,0.0,27.0
28,0.028169014084507043,0.0625,0.038834951456310676,32.0
29,0.024390243902439025,0.08695652173913043,0.0380952380952381,23.0
30,0.05357142857142857,0.08823529411764706,0.06666666666666667,34.0
31,0.011904761904761904,0.038461538461538464,0.01818181818181818,26.0
32,0.018867924528301886,0.07407407407407407,0.030075187969924814,27.0
accuracy,0.08886565603763721,0.08886565603763721,0.08886565603763721,0.08886565603763721
macro avg,0.07248707078586578,0.08121467815167663,0.07316832671068925,1913.0
weighted avg,0.08461104171291045,0.08886565603763721,0.08358170099065675,1913.0
