,precision,recall,f1-score,support
0,0.48760330578512395,0.7564102564102564,0.592964824120603,78.0
1,0.1452991452991453,0.21518987341772153,0.17346938775510207,79.0
2,0.057971014492753624,0.058823529411764705,0.05839416058394161,68.0
3,0.09259259259259259,0.06944444444444445,0.07936507936507937,72.0
4,0.12857142857142856,0.10112359550561797,0.11320754716981132,89.0
5,0.05660377358490566,0.047619047619047616,0.051724137931034475,63.0
6,0.08108108108108109,0.047619047619047616,0.06,63.0
7,0.1375,0.13253012048192772,0.13496932515337423,83.0
8,0.1171875,0.19480519480519481,0.14634146341463417,77.0
9,0.1743119266055046,0.23170731707317074,0.19895287958115182,82.0
10,0.03571428571428571,0.015151515151515152,0.02127659574468085,66.0
11,0.17647058823529413,0.04,0.06521739130434782,75.0
12,0.1,0.025974025974025976,0.041237113402061855,77.0
13,0.07142857142857142,0.023529411764705882,0.035398230088495575,85.0
14,0.0,0.0,0.0,73.0
15,0.13333333333333333,0.02666666666666667,0.044444444444444446,75.0
16,0.0,0.0,0.0,73.0
17,0.07407407407407407,0.03389830508474576,0.046511627906976744,59.0
18,0.09090909090909091,0.046875,0.06185567010309278,64.0
19,0.03333333333333333,0.0136986301369863,0.019417475728155338,73.0
20,0.06896551724137931,0.08163265306122448,0.0747663551401869,49.0
21,0.022727272727272728,0.02127659574468085,0.02197802197802198,47.0
22,0.05172413793103448,0.06382978723404255,0.057142857142857134,47.0
23,0.016666666666666666,0.0196078431372549,0.018018018018018018,51.0
24,0.0,0.0,0.0,36.0
25,0.0,0.0,0.0,31.0
26,0.017857142857142856,0.04,0.024691358024691357,25.0
27,0.0,0.0,0.0,18.0
28,0.05128205128205128,0.11764705882352941,0.07142857142857141,34.0
29,0.015873015873015872,0.047619047619047616,0.023809523809523808,21.0
30,0.03225806451612903,0.07407407407407407,0.0449438202247191,27.0
31,0.05,0.13793103448275862,0.07339449541284404,29.0
32,0.021505376344086023,0.08333333333333333,0.03418803418803419,24.0
accuracy,0.09618400418191322,0.09618400418191322,0.09618400418191322,0.09618400418191322
macro avg,0.0770558875902817,0.08387931542656925,0.07239722452013501,1913.0
weighted avg,0.09411480950701986,0.09618400418191322,0.08650406170172427,1913.0
