,precision,recall,f1-score,support
0,1.0,1.0,1.0,383.0
1,0.8410714285714286,0.8903591682419659,0.8650137741046832,529.0
2,0.4717285945072698,0.5647969052224371,0.5140845070422535,517.0
3,0.33653846153846156,0.3783783783783784,0.356234096692112,555.0
4,0.2829581993569132,0.33587786259541985,0.30715532286212915,524.0
5,0.23870967741935484,0.13167259786476868,0.16972477064220182,562.0
6,0.17516629711751663,0.1420863309352518,0.15690168818272096,556.0
7,0.16789396170839468,0.20652173913043478,0.1852152721364744,552.0
8,0.18120805369127516,0.20149253731343283,0.19081272084805656,536.0
9,0.17890772128060264,0.17495395948434622,0.17690875232774675,543.0
10,0.12727272727272726,0.09423076923076923,0.10828729281767956,520.0
11,0.19830508474576272,0.22328244274809161,0.21005385996409337,524.0
12,0.11504424778761062,0.07647058823529412,0.09187279151943462,510.0
13,0.1,0.05263157894736842,0.06896551724137931,513.0
14,0.0888030888030888,0.04339622641509434,0.058301647655259824,530.0
15,0.09454545454545454,0.04601769911504425,0.06190476190476191,565.0
16,0.04716981132075472,0.019011406844106463,0.02710027100271003,526.0
17,0.10038610038610038,0.05179282868525897,0.0683311432325887,502.0
18,0.04,0.014652014652014652,0.021447721179624665,546.0
19,0.1270718232044199,0.042279411764705885,0.06344827586206897,544.0
20,0.0872093023255814,0.03496503496503497,0.04991680532445924,429.0
21,0.08035714285714286,0.02142857142857143,0.03383458646616541,420.0
22,0.057692307692307696,0.041237113402061855,0.04809619238476954,291.0
23,0.012903225806451613,0.006622516556291391,0.0087527352297593,302.0
24,0.06711409395973154,0.038910505836575876,0.04926108374384237,257.0
25,0.042483660130718956,0.057777777777777775,0.04896421845574388,225.0
26,0.006756756756756757,0.0058823529411764705,0.006289308176100628,170.0
27,0.024822695035460994,0.04046242774566474,0.03076923076923077,173.0
28,0.018779342723004695,0.029197080291970802,0.022857142857142857,137.0
29,0.01968503937007874,0.05319148936170213,0.028735632183908046,94.0
30,0.028409090909090908,0.13333333333333333,0.046838407494145196,75.0
31,0.0060790273556231,0.03125,0.010178117048346055,64.0
32,0.017326732673267328,0.11666666666666667,0.030172413793103457,60.0
33,0.01038961038961039,0.08333333333333333,0.018475750577367205,48.0
34,0.007168458781362007,0.1,0.013377926421404682,40.0
35,0.004048582995951417,0.0625,0.007604562737642586,32.0
36,0.00984251968503937,0.25,0.01893939393939394,20.0
accuracy,0.18408852998355016,0.18408852998355016,0.18408852998355016,0.18408852998355016
macro avg,0.1463202249379545,0.15666655809309035,0.13986020796812174,13374.0
weighted avg,0.1948013585756266,0.18408852998355016,0.18346702616321006,13374.0
