,precision,recall,f1-score,support
0,0.40210843373493976,0.7026315789473684,0.5114942528735632,380.0
1,0.5888888888888889,0.7434869739478958,0.6572187776793623,499.0
2,0.4724264705882353,0.4732965009208103,0.47286108555657774,543.0
3,0.3056,0.35239852398523985,0.3273350471293916,542.0
4,0.3560311284046693,0.32620320855614976,0.3404651162790698,561.0
5,0.22560975609756098,0.13988657844990549,0.1726954492415403,529.0
6,0.16560509554140126,0.10297029702970296,0.12698412698412698,505.0
7,0.14160839160839161,0.1480804387568556,0.14477211796246653,547.0
8,0.15384615384615385,0.1824953445065177,0.16695059625212946,537.0
9,0.15084745762711865,0.1708253358925144,0.1602160216021602,521.0
10,0.1539708265802269,0.17117117117117117,0.1621160409556314,555.0
11,0.13221153846153846,0.09450171821305842,0.11022044088176354,582.0
12,0.09657320872274143,0.05916030534351145,0.07337278106508877,524.0
13,0.09364548494983277,0.052930056710775046,0.06763285024154589,529.0
14,0.0707070707070707,0.04142011834319527,0.05223880597014926,507.0
15,0.1122715404699739,0.08113207547169811,0.0941949616648412,530.0
16,0.09230769230769231,0.04332129963898917,0.05896805896805896,554.0
17,0.045454545454545456,0.01893939393939394,0.026737967914438505,528.0
18,0.10227272727272728,0.033582089552238806,0.05056179775280899,536.0
19,0.09659090909090909,0.03165735567970205,0.04768583450210379,537.0
20,0.050724637681159424,0.016317016317016316,0.024691358024691357,429.0
21,0.02666666666666667,0.01,0.014545454545454545,400.0
22,0.06153846153846154,0.03571428571428571,0.04519774011299435,336.0
23,0.06280193236714976,0.04153354632587859,0.05,313.0
24,0.05,0.04597701149425287,0.04790419161676646,261.0
25,0.024390243902439025,0.01818181818181818,0.020833333333333332,220.0
26,0.040229885057471264,0.041176470588235294,0.040697674418604654,170.0
27,0.04081632653061224,0.05161290322580645,0.04558404558404558,155.0
28,0.022727272727272728,0.034782608695652174,0.027491408934707903,115.0
29,0.013377926421404682,0.04081632653061224,0.020151133501259445,98.0
30,0.02622950819672131,0.1111111111111111,0.042440318302387266,72.0
31,0.012853470437017995,0.07575757575757576,0.021978021978021976,66.0
32,0.02564102564102564,0.14925373134328357,0.0437636761487965,67.0
33,0.005305039787798408,0.047619047619047616,0.00954653937947494,42.0
34,0.010438413361169102,0.14705882352941177,0.01949317738791423,34.0
35,0.0091324200913242,0.15384615384615385,0.017241379310344827,26.0
36,0.004219409282700422,0.08333333333333333,0.008032128514056224,24.0
accuracy,0.158217436817706,0.158217436817706,0.158217436817706,0.158217436817706
macro avg,0.12015324216337872,0.13714005753162617,0.11687334358296413,13374.0
weighted avg,0.16177349873969868,0.158217436817706,0.1534429562459498,13374.0
