,precision,recall,f1-score,support
0,0.3329129886506936,0.6454767726161369,0.4392678868552413,409.0
1,0.4417989417989418,0.6485436893203883,0.5255704169944925,515.0
2,0.3982608695652174,0.4288389513108614,0.41298467087466184,534.0
3,0.2986217457886677,0.36044362292051757,0.32663316582914576,541.0
4,0.30699774266365687,0.259047619047619,0.28099173553719003,525.0
5,0.1490066225165563,0.08538899430740038,0.10856453558504223,527.0
6,0.12837837837837837,0.10714285714285714,0.1168032786885246,532.0
7,0.14473684210526316,0.16698292220113853,0.1550660792951542,527.0
8,0.13915857605177995,0.1669902912621359,0.1518093556928508,515.0
9,0.12237762237762238,0.12962962962962962,0.12589928057553956,540.0
10,0.11827956989247312,0.11022044088176353,0.11410788381742738,499.0
11,0.05157593123209169,0.03339517625231911,0.040540540540540536,539.0
12,0.11191335740072202,0.05805243445692884,0.07644882860665844,534.0
13,0.07801418439716312,0.062381852551984876,0.06932773109243698,529.0
14,0.0776255707762557,0.031135531135531136,0.044444444444444446,546.0
15,0.0765661252900232,0.06407766990291262,0.06976744186046512,515.0
16,0.0776255707762557,0.031423290203327174,0.04473684210526316,541.0
17,0.08482142857142858,0.03411131059245961,0.04865556978233035,557.0
18,0.07307692307692308,0.034926470588235295,0.0472636815920398,544.0
19,0.06,0.011029411764705883,0.018633540372670808,544.0
20,0.07317073170731707,0.020316027088036117,0.03180212014134275,443.0
21,0.03125,0.0070921985815602835,0.011560693641618498,423.0
22,0.043478260869565216,0.03134796238244514,0.03642987249544626,319.0
23,0.04739336492890995,0.032679738562091505,0.03868471953578336,306.0
24,0.05235602094240838,0.040160642570281124,0.045454545454545456,249.0
25,0.0,0.0,0.0,234.0
26,0.011695906432748537,0.011627906976744186,0.011661807580174927,172.0
27,0.03076923076923077,0.039473684210526314,0.0345821325648415,152.0
28,0.021834061135371178,0.04716981132075472,0.02985074626865672,106.0
29,0.007874015748031496,0.01818181818181818,0.010989010989010988,110.0
30,0.016025641025641024,0.060240963855421686,0.02531645569620253,83.0
31,0.011594202898550725,0.06153846153846154,0.01951219512195122,65.0
32,0.013966480446927373,0.08928571428571429,0.024154589371980676,56.0
33,0.012987012987012988,0.08620689655172414,0.022573363431151242,58.0
34,0.012345679012345678,0.13513513513513514,0.02262443438914027,37.0
35,0.007797270955165692,0.14285714285714285,0.014787430683918669,28.0
36,0.01126126126126126,0.25,0.021551724137931032,20.0
accuracy,0.13772992373261553,0.13772992373261553,0.13772992373261553,0.13772992373261553
macro avg,0.09939319276839462,0.12277170384288405,0.097812236530968,13374.0
weighted avg,0.13404147876258082,0.13772992373261553,0.12853856352906934,13374.0
